date,username,content,retweets,likes
2022-10-31 08:42:02+00:00,CMShehbaz,I extend my congratulations to H.E. Luiz Inácio Lula da Silva @LulaOficial on his election as President of Brazil. I wish him great success &amp; look forward to working with him to enhance bilateral relations b/wour two countries. We share consensus on the dangers of climate change.,644,2436
2022-10-30 14:07:08+00:00,ImranKhanPTI,Shocked &amp; deeply saddened by the terrible accident that led to the death of Channel 5 reporter Sadaf Naeem during our March today. I have no words to express my sorrow. My prayers &amp; condolences go to the family at this tragic time. We have cancelled our March for today.,24416,83314
2022-10-30 08:36:47+00:00,CMShehbaz,I am saddened at the tragic death of 146 people in a stampede in Seoul. Our thoughts &amp; prayers are with the government &amp; people of South Korea.,862,5045
2022-10-29 17:37:22+00:00,ImranKhanPTI,"For all those spreading rumours about my mtg in Lahore, the reason we returned was bec Lahore was closer &amp; we had already decided not move at night. The only demand I have had for 6 mths is date for early fair &amp; free elections. That will be the ONLY demand if talks are to be held",28635,86544
2022-10-29 07:15:54+00:00,CMShehbaz,"On the 99th Republic Day of Turkiye, I extend our heartiest felicitations to President @RTErdogan &amp; the people of Turkiye. The heroic struggle of Turkish people for independence under the leadership of Ghazi Mustafa Kemal Ataturk holds a prominent place in the annals of history.",622,2883
2022-10-28 18:43:41+00:00,ImranKhanPTI,Congratulations to Abid Zuberi on his election as President SCBA.,18926,79038
2022-10-28 17:42:28+00:00,CMShehbaz,"Levies soldier Habib ur Rehman, who was martyred while protecting the polio team in Chaman, is our nation's hero. It is valiant men like him who manifest our national resolve to eradicate polio from our country and save our children from this debilitating ailment.",742,3548
2022-10-28 07:15:28+00:00,CMShehbaz,"Grateful to U.S. govt for the announcement of an additional $ 30 million in humanitarian assistance for flood victims. With the start of winter, challenges of food, health &amp; shelter still persist. World should promptly contribute to UN aid appeal to mitigate the impact of tragedy",783,4122
2022-10-28 05:12:29+00:00,CMShehbaz,Saddened by the news of the loss of precious lives &amp; ravages caused by a cyclone in Bangladesh. I convey our deepest condolences &amp; most sincere sympathies to the government and the people of Bangladesh. Our thoughts &amp; prayers are with the bereaved families.,582,3342
2022-10-27 03:09:42+00:00,CMShehbaz,"The 27th of October is observed as Black Day when India illegally, immorally &amp; forcibly occupied Jammu &amp; Kashmir in 1947. This Day is a testament to Kashmiris' legendary courage &amp; resilience they have shown in standing up to the Indian occupation forces over the last 75 years. /1",966,3830
2022-10-26 11:07:46+00:00,CMShehbaz,Imran Niazi is playing a dangerous game. He is using tragic killing of Arshad Sharif for petty politics &amp; going to the extent of casting aspersions on state institutions. He should be patient &amp; wait for findings of Judicial Commission instead of resorting to baseless allegations.,2111,8260
2022-10-25 19:30:02+00:00,CMShehbaz,Just had excellent meeting with HRH Cown Prince Mohammed Bin Salman. We agreed to upgrade &amp; enhance bilateral ties &amp; fraternal bonds b/w 🇵🇰 &amp; 🇸🇦 to new heights in line with the requirements of changing world. I told HRH people of Pakistan are eagerly looking forward to his visit.,912,3695
2022-10-25 10:41:07+00:00,CMShehbaz,I have decided to form a Judicial Commission to hold an inquiry into the killing of journalist Arshad Sharif in order to determine the facts of the tragic incident in a transparent &amp; conclusive manner.,1671,8916
2022-10-24 16:50:54+00:00,CMShehbaz,Congratulations to @RishiSunak on his nomination as leader of the Conservative Party and next Prime Minister of the UK. I look forward to working with him to advance shared interests and further deepen the abiding  🇵🇰- 🇬🇧 partnership.,682,3712
2022-10-24 11:28:55+00:00,ImranKhanPTI,We saw a foreign abetted regime change conspiracy taking place sending Pak into chaos. But senior Judiciary continues to remain aloof. When will the Judiciary move to act against State institutions that are defying all laws &amp; violating the Constitution? It is high time they did.,15885,43909
